Year,League,Franchise,Rank,Gamesplayed,Gamesplayedathome,Wins,Losses,DivisionWinner,WildCardWinner,LeagueChampion,WorldSeriesWinner,RunsScored,Atbats,Hitsbybatters,Doubles,Triples,Homerunsbybatters,Walksbybatters,Strikeoutsbybatters,Stolenbases,Caughtstealing,Battershitbypitch,Sacrificeflies,Opponentsrunsscored,Earnedrunsallowed,Earnedrunaverage,Completegames,Shutouts,Saves,Outspitched,Hitsallowed,Homerunsallowed,Walksallowed,Strikeoutsbypitchers,Errors,Doubleplays,Fieldingpercentage,Homeattendancetotal,Battersparkfactor,Pitchersparkfactor
2001,AL,BOS,2,161,81,82,79,0,0,0,0,772,5605,1493,316,29,198,520,1131,46,35,70,41,745,667,4.15,3,9,48,4344,1412,146,544,1259,113,129,0.981,2625333,102,101
2001,AL,CHW,3,162,81,83,79,0,0,0,0,798,5464,1463,300,29,214,520,998,123,59,52,51,795,725,4.55,8,9,51,4300,1465,181,500,921,118,149,0.981,1766172,104,103
2001,AL,CLE,1,162,80,91,71,1,0,0,0,897,5600,1559,294,37,212,577,1076,79,41,69,62,821,746,4.64,3,4,42,4340,1512,148,573,1218,107,137,0.982,3175523,100,100
2001,AL,DET,4,162,81,66,96,0,0,0,0,724,5537,1439,291,60,139,466,972,133,61,51,49,876,795,5.01,16,2,34,4288,1624,180,553,859,131,164,0.979,1921305,93,95
2001,AL,KCR,5,162,81,65,97,0,0,0,0,729,5643,1503,277,37,152,406,898,100,42,44,47,858,779,4.87,5,1,30,4320,1537,209,576,911,117,204,0.981,1536371,107,108
2001,AL,MIN,2,162,81,85,77,0,0,0,0,771,5560,1514,328,38,164,495,1083,146,67,64,38,766,722,4.51,12,8,45,4324,1494,192,445,965,108,118,0.982,1782929,102,102
2001,AL,NYY,1,161,80,95,65,1,0,1,0,804,5577,1488,289,20,203,519,1035,161,53,64,43,713,649,4.02,7,9,57,4354,1429,158,465,1266,109,132,0.982,3264907,102,100
2001,AL,OAK,2,162,81,102,60,0,1,0,0,884,5573,1469,334,22,199,640,1021,68,29,88,59,645,583,3.59,13,9,44,4390,1384,153,440,1117,125,151,0.98,2133277,99,97
2001,AL,SEA,1,162,81,116,46,1,0,0,0,927,5680,1637,310,38,169,614,989,174,42,62,70,627,576,3.54,8,14,56,4395,1293,160,465,1051,83,137,0.986,3507326,94,93
2001,AL,TBD,5,162,81,62,100,0,0,0,0,672,5524,1426,311,21,121,456,1116,115,52,54,25,887,781,4.94,1,6,30,4271,1513,207,569,1030,139,144,0.977,1298365,98,100
2001,AL,TEX,4,162,82,73,89,0,0,0,0,890,5685,1566,326,23,246,548,1093,97,32,75,55,968,913,5.71,4,3,37,4315,1670,222,596,951,114,167,0.981,2831021,104,105
2001,AL,TOR,3,162,82,80,82,0,0,0,0,767,5663,1489,287,36,195,470,1094,156,55,74,43,753,696,4.28,7,10,41,4388,1553,165,490,1041,97,184,0.985,1915438,102,103
2001,NL,ARI,1,162,81,92,70,1,0,1,1,818,5595,1494,284,35,208,587,1052,71,38,57,36,677,627,3.87,12,13,34,4379,1352,195,461,1297,84,148,0.986,2736451,108,107
2001,NL,ATL,1,162,81,88,74,1,0,0,0,729,5498,1432,263,24,174,493,1039,85,46,45,52,643,578,3.59,5,13,41,4342,1363,153,499,1133,103,133,0.983,2823530,103,102
2001,NL,CHC,3,162,81,88,74,0,0,0,0,777,5406,1409,268,32,194,577,1077,67,36,66,53,701,643,4.03,8,6,41,4311,1357,164,550,1344,109,113,0.982,2779465,95,95
2001,NL,CIN,5,162,81,66,96,0,0,0,0,735,5583,1464,304,22,176,468,1172,103,54,65,40,850,765,4.77,2,2,35,4328,1572,198,515,943,138,136,0.978,1879757,105,105
2001,NL,COL,5,162,81,73,89,0,0,0,0,923,5690,1663,324,61,213,511,1027,132,54,61,50,906,841,5.29,8,8,26,4290,1522,239,598,1058,96,167,0.984,3166821,122,122
2001,NL,FLA,4,162,80,76,86,0,0,0,0,742,5542,1461,325,30,166,470,1145,89,40,67,45,744,691,4.32,5,11,32,4314,1397,151,617,1119,103,174,0.983,1261226,97,97
2001,NL,HOU,1,162,81,93,69,1,0,0,0,847,5528,1500,313,29,208,581,1119,64,49,89,56,769,707,4.37,7,6,48,4364,1453,221,486,1228,110,138,0.982,2904277,107,106
2001,NL,LAD,3,162,81,86,76,0,0,0,0,758,5493,1399,264,27,206,519,1062,89,42,56,44,744,685,4.25,3,5,46,4352,1387,184,524,1212,116,138,0.981,3017143,92,91
2001,NL,MIL,4,162,81,68,94,0,0,0,0,740,5488,1378,273,30,209,488,1399,66,36,72,35,806,740,4.64,3,8,28,4309,1452,197,667,1057,103,156,0.983,2811041,98,99
2001,NL,WSN,5,162,81,68,94,0,0,0,0,670,5379,1361,320,28,131,478,1071,101,51,60,45,812,745,4.68,5,11,28,4294,1509,190,525,1103,108,139,0.982,642745,101,102
2001,NL,NYM,3,162,81,82,80,0,0,0,0,642,5459,1361,273,18,147,545,1062,66,48,65,35,713,654,4.07,6,14,48,4337,1418,186,438,1191,101,132,0.983,2658330,96,96
2001,NL,PHI,2,162,81,86,76,0,0,0,0,746,5497,1431,295,29,164,551,1125,153,47,43,61,719,667,4.15,8,7,47,4336,1417,170,527,1086,91,145,0.985,1782054,98,98
2001,NL,PIT,6,162,81,62,100,0,0,0,0,657,5398,1333,256,25,161,467,1106,93,73,67,35,858,794,5.05,8,9,36,4249,1493,167,549,908,133,168,0.978,2464870,103,105
